1,7:23 am ↑ (79°),8:45 pm ↑ (282°),13:22:10,+5:37,2:03 pm (34.1°),92.897
2,7:20 am ↑ (78°),8:48 pm ↑ (282°),13:27:48,+5:37,2:03 pm (34.5°),92.924
3,7:17 am ↑ (77°),8:50 pm ↑ (283°),13:33:25,+5:37,2:03 pm (34.8°),92.951
4,7:14 am ↑ (77°),8:53 pm ↑ (284°),13:39:03,+5:37,2:03 pm (35.2°),92.978
5,7:11 am ↑ (76°),8:55 pm ↑ (285°),13:44:40,+5:37,2:02 pm (35.6°),93.005
6,7:08 am ↑ (75°),8:58 pm ↑ (286°),13:50:17,+5:37,2:02 pm (36.0°),93.032
7,7:05 am ↑ (74°),9:01 pm ↑ (286°),13:55:54,+5:37,2:02 pm (36.4°),93.059
8,7:02 am ↑ (73°),9:03 pm ↑ (287°),14:01:31,+5:37,2:01 pm (36.7°),93.086
9,6:58 am ↑ (73°),9:06 pm ↑ (288°),14:07:08,+5:36,2:01 pm (37.1°),93.113
10,6:55 am ↑ (72°),9:08 pm ↑ (289°),14:12:45,+5:36,2:01 pm (37.5°),93.140
11,6:52 am ↑ (71°),9:11 pm ↑ (289°),14:18:21,+5:36,2:01 pm (37.8°),93.167
12,6:49 am ↑ (70°),9:13 pm ↑ (290°),14:23:58,+5:36,2:00 pm (38.2°),93.194
13,6:46 am ↑ (69°),9:16 pm ↑ (291°),14:29:34,+5:36,2:00 pm (38.6°),93.221
14,6:43 am ↑ (69°),9:18 pm ↑ (292°),14:35:10,+5:35,2:00 pm (38.9°),93.247
15,6:40 am ↑ (68°),9:21 pm ↑ (293°),14:40:46,+5:35,2:00 pm (39.3°),93.273
16,6:37 am ↑ (67°),9:23 pm ↑ (293°),14:46:21,+5:35,1:59 pm (39.6°),93.299
17,6:34 am ↑ (66°),9:26 pm ↑ (294°),14:51:56,+5:34,1:59 pm (40.0°),93.325
18,6:31 am ↑ (66°),9:29 pm ↑ (295°),14:57:30,+5:34,1:59 pm (40.3°),93.350
19,6:28 am ↑ (65°),9:31 pm ↑ (296°),15:03:05,+5:34,1:59 pm (40.7°),93.375
20,6:25 am ↑ (64°),9:34 pm ↑ (296°),15:08:38,+5:33,1:59 pm (41.0°),93.400
21,6:22 am ↑ (63°),9:36 pm ↑ (297°),15:14:11,+5:33,1:58 pm (41.4°),93.425
22,6:19 am ↑ (63°),9:39 pm ↑ (298°),15:19:44,+5:32,1:58 pm (41.7°),93.450
23,6:16 am ↑ (62°),9:41 pm ↑ (299°),15:25:16,+5:31,1:58 pm (42.0°),93.474
24,6:13 am ↑ (61°),9:44 pm ↑ (299°),15:30:47,+5:31,1:58 pm (42.4°),93.498
25,6:10 am ↑ (60°),9:47 pm ↑ (300°),15:36:18,+5:30,1:58 pm (42.7°),93.522
26,6:07 am ↑ (60°),9:49 pm ↑ (301°),15:41:47,+5:29,1:57 pm (43.0°),93.547
27,6:05 am ↑ (59°),9:52 pm ↑ (302°),15:47:16,+5:28,1:57 pm (43.3°),93.571
28,6:02 am ↑ (58°),9:54 pm ↑ (302°),15:52:44,+5:27,1:57 pm (43.6°),93.595
29,5:59 am ↑ (57°),9:57 pm ↑ (303°),15:58:10,+5:26,1:57 pm (43.9°),93.619
30,5:56 am ↑ (57°),10:00 pm ↑ (304°),16:03:36,+5:25,1:57 pm (44.3°),93.642