1,5:36 am ↑ (49°),10:34 pm ↑ (311°),16:58:04,-5:02,2:06 pm (47.1°),94.341
2,5:39 am ↑ (50°),10:32 pm ↑ (310°),16:52:58,-5:05,2:06 pm (46.9°),94.329
3,5:41 am ↑ (50°),10:29 pm ↑ (309°),16:47:51,-5:07,2:06 pm (46.6°),94.317
4,5:44 am ↑ (51°),10:26 pm ↑ (309°),16:42:41,-5:09,2:06 pm (46.4°),94.305
5,5:46 am ↑ (52°),10:24 pm ↑ (308°),16:37:30,-5:11,2:06 pm (46.1°),94.292
6,5:49 am ↑ (52°),10:21 pm ↑ (307°),16:32:17,-5:13,2:06 pm (45.8°),94.279
7,5:51 am ↑ (53°),10:18 pm ↑ (306°),16:27:02,-5:14,2:05 pm (45.5°),94.266
8,5:54 am ↑ (54°),10:15 pm ↑ (306°),16:21:45,-5:16,2:05 pm (45.3°),94.252
9,5:56 am ↑ (54°),10:13 pm ↑ (305°),16:16:28,-5:17,2:05 pm (45.0°),94.238
10,5:59 am ↑ (55°),10:10 pm ↑ (304°),16:11:08,-5:19,2:05 pm (44.7°),94.223
11,6:01 am ↑ (56°),10:07 pm ↑ (304°),16:05:48,-5:20,2:05 pm (44.4°),94.207
12,6:04 am ↑ (57°),10:04 pm ↑ (303°),16:00:26,-5:21,2:05 pm (44.1°),94.191
13,6:06 am ↑ (57°),10:01 pm ↑ (302°),15:55:04,-5:22,2:05 pm (43.8°),94.175
14,6:09 am ↑ (58°),9:58 pm ↑ (302°),15:49:40,-5:23,2:04 pm (43.5°),94.158
15,6:11 am ↑ (59°),9:55 pm ↑ (301°),15:44:16,-5:24,2:04 pm (43.2°),94.140
16,6:14 am ↑ (59°),9:52 pm ↑ (300°),15:38:50,-5:25,2:04 pm (42.8°),94.123
17,6:16 am ↑ (60°),9:50 pm ↑ (299°),15:33:24,-5:26,2:04 pm (42.5°),94.105
18,6:19 am ↑ (61°),9:47 pm ↑ (299°),15:27:57,-5:26,2:03 pm (42.2°),94.086
19,6:21 am ↑ (62°),9:44 pm ↑ (298°),15:22:30,-5:27,2:03 pm (41.9°),94.067
20,6:24 am ↑ (62°),9:41 pm ↑ (297°),15:17:02,-5:27,2:03 pm (41.5°),94.048
21,6:26 am ↑ (63°),9:38 pm ↑ (296°),15:11:34,-5:28,2:03 pm (41.2°),94.029
22,6:29 am ↑ (64°),9:35 pm ↑ (296°),15:06:05,-5:28,2:03 pm (40.9°),94.009
23,6:31 am ↑ (65°),9:32 pm ↑ (295°),15:00:36,-5:29,2:02 pm (40.5°),93.989
24,6:34 am ↑ (65°),9:29 pm ↑ (294°),14:55:06,-5:29,2:02 pm (40.2°),93.969
25,6:36 am ↑ (66°),9:26 pm ↑ (293°),14:49:36,-5:30,2:02 pm (39.8°),93.949
26,6:39 am ↑ (67°),9:23 pm ↑ (293°),14:44:06,-5:30,2:01 pm (39.5°),93.929
27,6:41 am ↑ (68°),9:20 pm ↑ (292°),14:38:35,-5:30,2:01 pm (39.1°),93.908
28,6:43 am ↑ (68°),9:17 pm ↑ (291°),14:33:04,-5:30,2:01 pm (38.8°),93.887
29,6:46 am ↑ (69°),9:13 pm ↑ (290°),14:27:33,-5:31,2:01 pm (38.4°),93.866
30,6:48 am ↑ (70°),9:10 pm ↑ (290°),14:22:02,-5:31,2:00 pm (38.1°),93.845
31,6:51 am ↑ (71°),9:07 pm ↑ (289°),14:16:30,-5:31,2:00 pm (37.7°),93.824