1,6:53 am ↑ (72°),9:04 pm ↑ (288°),14:10:58,-5:31,2:00 pm (37.4°),93.803
2,6:56 am ↑ (72°),9:01 pm ↑ (287°),14:05:26,-5:31,1:59 pm (37.0°),93.781
3,6:58 am ↑ (73°),8:58 pm ↑ (286°),13:59:54,-5:32,1:59 pm (36.6°),93.759
4,7:01 am ↑ (74°),8:55 pm ↑ (286°),13:54:22,-5:32,1:59 pm (36.3°),93.737
5,7:03 am ↑ (75°),8:52 pm ↑ (285°),13:48:50,-5:32,1:58 pm (35.9°),93.714
6,7:06 am ↑ (75°),8:49 pm ↑ (284°),13:43:18,-5:32,1:58 pm (35.5°),93.692
7,7:08 am ↑ (76°),8:46 pm ↑ (283°),13:37:45,-5:32,1:58 pm (35.1°),93.668
8,7:10 am ↑ (77°),8:43 pm ↑ (283°),13:32:12,-5:32,1:57 pm (34.8°),93.645
9,7:13 am ↑ (78°),8:39 pm ↑ (282°),13:26:40,-5:32,1:57 pm (34.4°),93.621
10,7:15 am ↑ (79°),8:36 pm ↑ (281°),13:21:07,-5:32,1:57 pm (34.0°),93.597
11,7:18 am ↑ (79°),8:33 pm ↑ (280°),13:15:34,-5:32,1:56 pm (33.6°),93.573
12,7:20 am ↑ (80°),8:30 pm ↑ (279°),13:10:01,-5:33,1:56 pm (33.2°),93.548
13,7:23 am ↑ (81°),8:27 pm ↑ (279°),13:04:29,-5:32,1:55 pm (32.9°),93.523
14,7:25 am ↑ (82°),8:24 pm ↑ (278°),12:58:56,-5:32,1:55 pm (32.5°),93.497
15,7:27 am ↑ (83°),8:21 pm ↑ (277°),12:53:23,-5:32,1:55 pm (32.1°),93.472
16,7:30 am ↑ (83°),8:18 pm ↑ (276°),12:47:50,-5:32,1:54 pm (31.7°),93.446
17,7:32 am ↑ (84°),8:14 pm ↑ (275°),12:42:17,-5:32,1:54 pm (31.3°),93.420
18,7:35 am ↑ (85°),8:11 pm ↑ (275°),12:36:44,-5:32,1:54 pm (30.9°),93.394
19,7:37 am ↑ (86°),8:08 pm ↑ (274°),12:31:11,-5:32,1:53 pm (30.6°),93.368
20,7:39 am ↑ (87°),8:05 pm ↑ (273°),12:25:38,-5:32,1:53 pm (30.2°),93.342
21,7:42 am ↑ (87°),8:02 pm ↑ (272°),12:20:05,-5:32,1:53 pm (29.8°),93.316
22,7:44 am ↑ (88°),7:59 pm ↑ (271°),12:14:32,-5:32,1:52 pm (29.4°),93.290
23,7:47 am ↑ (89°),7:56 pm ↑ (271°),12:09:00,-5:32,1:52 pm (29.0°),93.263
24,7:49 am ↑ (90°),7:53 pm ↑ (270°),12:03:27,-5:32,1:52 pm (28.6°),93.237
25,7:52 am ↑ (91°),7:50 pm ↑ (269°),11:57:54,-5:32,1:51 pm (28.2°),93.211
26,7:54 am ↑ (91°),7:46 pm ↑ (268°),11:52:21,-5:32,1:51 pm (27.8°),93.185
27,7:56 am ↑ (92°),7:43 pm ↑ (267°),11:46:48,-5:32,1:51 pm (27.4°),93.159
28,7:59 am ↑ (93°),7:40 pm ↑ (267°),11:41:15,-5:32,1:50 pm (27.1°),93.133
29,8:01 am ↑ (94°),7:37 pm ↑ (266°),11:35:42,-5:32,1:50 pm (26.7°),93.107
30,8:04 am ↑ (95°),7:34 pm ↑ (265°),11:30:09,-5:33,1:50 pm (26.3°),93.081